Time,V(out)
11.88,310.316037325374
11.88002,310.264463387357
11.88004,310.212880225383
11.88006,310.161289127449
11.88008,310.109688797311
11.8801,310.058080522642
11.88012,310.00646300719
11.88014,309.954837538622
11.88016,309.903202820668
11.88018,309.851560140989
11.8802,309.799908203328
11.88022,309.74824829532
11.88024,309.696579120704
11.88026,309.644901967109
11.88028,309.593215538272
11.8803,309.541521121806
11.88032,309.48981742144
11.88034,309.438105724788
11.88036,309.386384735575
11.88038,309.334655741397
11.8804,309.282917445969
11.88042,309.231171136893
11.88044,309.179415517869
11.88046,309.127651876493
11.88048,309.075878916457
11.8805,309.024097925358
11.88052,308.972307606862
11.88054,308.920509248572
11.88056,308.868701554151
11.88058,308.816885811179
11.8806,308.765060723326
11.88062,308.713227578159
11.88064,308.66138507934
11.88066,308.609534514431
11.88068,308.557674587086
11.8807,308.505806584853
11.88072,308.453929211388
11.88074,308.402043754235
11.88076,308.35014891703
11.88078,308.298245987313
11.8808,308.246333668714
11.88082,308.194413248766
11.88084,308.142483431096
11.88086,308.09054550323
11.88088,308.03859816878
11.8809,307.986642715259
11.88092,307.934677846286
11.88094,307.882704849362
11.88096,307.830722428094
11.88098,307.778731869981
11.881,307.726731878618
11.88102,307.674723741497
11.88104,307.622706162216
11.88106,307.570680428242
11.88108,307.518645243174
11.8811,307.466601894477
11.88112,307.414549085734
11.88114,307.362488104398
11.88116,307.310417654058
11.88118,307.258339022155
11.8812,307.206250912262
11.88122,307.154154611828
11.88124,307.102048824407
11.88126,307.049934837436
11.88128,306.997811354468
11.8813,306.945679662935
11.88132,306.893538466382
11.88134,306.841389052228
11.8813599999999,306.789230124014
11.8813799999999,306.737062969147
11.8813999999999,306.684886291172
11.8814199999999,306.632701377479
11.8814399999999,306.580506931597
11.8814599999999,306.528304240925
11.8814799999999,306.476092008976
11.8814999999999,306.423871523133
11.8815199999999,306.37164148692
11.8815399999999,306.31940318771
11.8815599999999,306.267155328998
11.8815799999999,306.214899198167
11.8815999999999,306.162633498705
11.8816199999999,306.110359517977
11.8816399999999,306.05807595947
11.8816599999999,306.005784110537
11.8816799999999,305.953482674664
11.8816999999999,305.901172939197
11.8817199999999,305.848853607604
11.8817399999999,305.796525967224
11.8817599999999,305.744188721525
11.8817799999999,305.691843157834
11.8817999999999,305.639487979621
11.8818199999999,305.587124474187
11.8818399999999,305.534751345
11.8818599999999,305.482369879366
11.8818799999999,305.429978780725
11.8818999999999,305.377579336386
11.8819199999999,305.325170249791
11.8819399999999,305.272752808225
11.8819599999999,305.220325715123
11.8819799999999,305.167890257773
11.8819999999999,305.115445139596
11.8820199999999,305.062991647861
11.8820399999999,305.010528485996
11.8820599999999,304.958056941261
11.8820799999999,304.905575717072
11.8820999999999,304.85308610068
11.8821199999999,304.800586795496
11.8821399999999,304.74807908876
11.8821599999999,304.695561683879
11.8821799999999,304.643035868081
11.8821999999999,304.590500344762
11.8822199999999,304.537956401149
11.8822399999999,304.485402740625
11.8822599999999,304.432840650414
11.8822799999999,304.380268833887
11.8822999999999,304.327688578258
11.8823199999999,304.275098586895
11.8823399999999,304.222500147
11.8823599999999,304.169891961941
11.8823799999999,304.117275318898
11.8823999999999,304.064648921234
11.8824199999999,304.012014056134
11.8824399999999,303.959369426935
11.8824599999999,303.906716320824
11.8824799999999,303.854053441133
11.8824999999999,303.801382075031
11.8825199999999,303.748700925855
11.8825399999999,303.69601128075
11.8825599999999,303.643311843047
11.8825799999999,303.590603899898
11.8825999999999,303.537886154609
11.8826199999999,303.485159894328
11.8826399999999,303.432423822363
11.8826599999999,303.379679225847
11.8826799999999,303.326924808072
11.8826999999999,303.274161856167
11.8827199999999,303.22138907342
11.8827399999999,303.168607746957
11.8827599999999,303.115816580041
11.8827799999999,303.063016859796
11.8827999999999,303.010207289488
11.8828199999999,302.957389156218
11.8828399999999,302.90456116325
11.8828599999999,302.851724597676
11.8828799999999,302.798878162761
11.8828999999999,302.746023145566
11.8829199999999,302.693158249363
11.8829399999999,302.640284761212
11.8829599999999,302.587401384357
11.8829799999999,302.534509405861
11.8829999999999,302.48160752896
11.8830199999999,302.428697040708
11.8830399999999,302.375776644323
11.8830599999999,302.322847626863
11.8830799999999,302.269908691542
11.8830999999999,302.216961125385
11.8831199999999,302.16400363162
11.8831399999999,302.11103749726
11.8831599999999,302.058061425512
