,0,400,500,600,700,800
0.5,0,2.64E-06,3.38E-06,4.24E-06,5.22E-06,6.30E-06
0.75,0,2.64E-06,3.39E-06,4.25E-06,5.22E-06,6.31E-06
1,0,2.65E-06,3.40E-06,4.26E-06,5.23E-06,6.32E-06
1.25,0,2.66E-06,3.41E-06,4.27E-06,5.24E-06,6.33E-06
1.5,0,2.67E-06,3.42E-06,4.28E-06,5.25E-06,6.34E-06
1.75,0,2.69E-06,3.43E-06,4.30E-06,5.27E-06,6.36E-06
2,0,2.71E-06,3.45E-06,4.31E-06,5.29E-06,6.37E-06
2.25,0,2.73E-06,3.47E-06,4.33E-06,5.31E-06,6.40E-06
2.5,0,2.75E-06,3.50E-06,4.36E-06,5.33E-06,6.46E-06
2.75,0,2.77E-06,3.52E-06,4.38E-06,5.36E-06,6.54E-06
3,0,2.80E-06,3.55E-06,4.41E-06,5.38E-06,6.64E-06
3.25,0,2.83E-06,3.58E-06,4.44E-06,5.41E-06,6.75E-06
3.5,0,2.86E-06,3.61E-06,4.47E-06,5.44E-06,6.87E-06
3.75,0,2.89E-06,3.64E-06,4.50E-06,5.48E-06,7.02E-06
4,0,2.93E-06,3.67E-06,4.54E-06,5.51E-06,7.18E-06
4.25,0,2.96E-06,3.71E-06,4.57E-06,5.56E-06,7.39E-06
4.5,0,3.00E-06,3.75E-06,4.62E-06,5.63E-06,7.70E-06
4.75,0,3.04E-06,3.79E-06,4.68E-06,5.80E-06,8.16E-06
5,0,3.09E-06,3.86E-06,4.82E-06,6.12E-06,8.78E-06
5.25,0,3.15E-06,3.97E-06,5.06E-06,6.57E-06,9.53E-06
5.5,0,3.26E-06,4.17E-06,5.42E-06,7.15E-06,1.04E-05
5.75,0,3.43E-06,4.46E-06,5.88E-06,7.85E-06,1.14E-05
6,0,3.68E-06,4.83E-06,6.43E-06,8.64E-06,1.24E-05
