Time,V(pwm),-1*I(V_MAINSW)
0.590000174248651,1,0.0145976109015464
0.590000474248651,1,0.0165856513581275
0.590000774248651,1,0.0185683211625474
0.590001074248651,1,0.0205450179578293
0.590001374248651,1,0.0225151410618309
0.590001674248651,1,0.0244780916868876
0.590001974248651,1,0.0264332731453578
0.59000227424865,1,0.0283800910592618
0.59000257424865,1,0.0303179535544587
0.59000287424865,1,0.0322462714671019
0.59000317424865,1,0.034164458534633
0.59000347424865,1,0.0360719315881397
0.59000377424865,1,0.0379681107428951
0.59000407424865,1,0.0398524195857135
0.59000437424865,1,0.0417242853577591
0.59000467424865,1,0.0435831391382635
0.59000497424865,1,0.0454284160241514
0.59000527424865,1,0.0472595553073916
0.59000557424865,1,0.049076000650075
0.59000587424865,1,0.0508772002599471
0.59000617424865,1,0.0526626070595739
0.59000647424865,1,0.0544316788573269
0.59000677424865,1,0.0561838785147302
0.59000707424865,1,0.0579186741110789
0.59000737424865,1,0.0596355391085126
0.59000767424865,1,0.0613339525111769
0.59000768424865,1,0.0613902339987362
0.59000770424865,1,0.0615027546614328
0.59000774424865,1,0.0617275420422629
0.59000775424865,1,0.0617836859883028
0.59000776424865,0.49999999627471,0.0608079405938042
0.590007773400938,0,3.99402342736721e-05
0.590007782171875,0,3.99398570290477e-05
0.590007788071953,0,3.99397338247173e-05
0.590007796038301,0,3.99395688296614e-05
0.590007811970996,0,3.99392370449905e-05
0.590007817871074,0,-0.00224498016177677
0.590007823771152,0,-0.00221171740531645
0.59000782967123,0,-0.00217845435690833
0.590007835571309,0,-0.00214519109840694
0.590007847371465,0,-0.0020786640161532
0.590007870971778,0,-0.00194560725458359
0.590007918172405,0,-0.00167948473108481
0.590007976,0,-0.00135342700559704
0.590007976590008,0,-0.00135010032909122
0.590007977,0,-0.00134778868323338
0.590007977590008,0,-0.00134446189213122
0.590007978,0,-0.0013421501043922
0.590007978590008,0,-0.00133882349564374
0.590007979770024,0,-0.00133216990525398
0.590007982130056,0,-0.00131886295775985
0.59000798685012,0.42601116746664,-0.00129224896136293
0.590007996290247,1,-0.00123902077393723
0.590008015170502,1,-0.0011325635882713
0.590008052931013,1,-0.000919646320198808
